testcase,testcase_id,source_format,target_format,phase,stage,run_idx,is_warmup,used_for_stats,dt_s,repeats,warmup
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,roundtrip,src_to_target,3,False,True,1.2174381000222638,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,roundtrip,src_to_target,4,False,True,1.2434315999853425,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,roundtrip,rt_src_to_z88,0,True,False,1.5037538000033237,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,roundtrip,rt_src_to_z88,1,False,True,1.4546940000145696,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,roundtrip,rt_src_to_z88,2,False,True,1.4627738000126556,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,roundtrip,rt_src_to_z88,3,False,True,1.5357800999772735,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,roundtrip,rt_src_to_z88,4,False,True,1.5141130000120029,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,roundtrip,rt_z88_to_json,0,True,False,0.6380602000281215,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,roundtrip,rt_z88_to_json,1,False,True,0.6568097000126727,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,roundtrip,rt_z88_to_json,2,False,True,0.6094047999940813,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,roundtrip,rt_z88_to_json,3,False,True,0.6175284999771975,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,roundtrip,rt_z88_to_json,4,False,True,0.6397846000036225,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,roundtrip,src_to_target,0,True,False,1.0987452999688685,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,roundtrip,src_to_target,1,False,True,1.102077300020028,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,roundtrip,src_to_target,2,False,True,1.2104524000314996,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,roundtrip,src_to_target,3,False,True,1.17713399999775,5,1
